190120231536, 1111, "Top Secret Twenty One - Janet Evanovich", true, 8.99, 4.0, 0%, 35.96, 19/01/23 03:36:33 PM est

190120231537, 1111, "Top Secret Twenty One - Janet Evanovich", true, 8.99, 5.0, 0%, 44.95, 19/01/23 03:37:53 PM est
190120231538, 14, "Stanley #2 Philips Screwdriver", true, 6.95, 9.0, 0%, 62.550000000000004, 19/01/23 03:38:02 PM est

190120231608, 1111, "Top Secret Twenty One - Janet Evanovich", true, 8.99, 3.0, 0%, 26.97, 19/01/23 04:08:05 PM est

240120231217, 1111, "Top Secret Twenty One - Janet Evanovich", true, 8.99, 4.0, 0%, 35.96, 24/01/23 12:17:21 PM est

240120231455, 1111, "Top Secret Twenty One - Janet Evanovich", true, 8.99, 5.0, 0%, 44.95, 24/01/23 02:55:05 PM est
240120231455, 14, "Stanley #2 Philips Screwdriver", true, 6.95, 5.0, 0%, 34.75, 24/01/23 02:55:18 PM est

240120231508, 1111, "Top Secret Twenty One - Janet Evanovich", true, 8.99, 4.0, 0%, 35.96, 24/01/23 03:08:09 PM est

240120231508, 1111, "Top Secret Twenty One - Janet Evanovich", true, 8.99, 3.0, 0%, 26.97, 24/01/23 03:08:44 PM est

240120231509, 1111, "Top Secret Twenty One - Janet Evanovich", true, 8.99, 3.0, 0%, 26.97, 24/01/23 03:09:22 PM est

240120231514, 1111, "Top Secret Twenty One - Janet Evanovich", true, 8.99, 3.0, 0%, 26.97, 24/01/23 03:14:39 PM est

240120231520, 1111, "Top Secret Twenty One - Janet Evanovich", true, 8.99, 3.0, 0%, 26.97, 24/01/23 03:20:33 PM est

240120231521, 1111, "Top Secret Twenty One - Janet Evanovich", true, 8.99, 3.0, 0%, 26.97, 24/01/23 03:21:24 PM est

240120231524, 1111, "Top Secret Twenty One - Janet Evanovich", true, 8.99, 3.0, 0%, 26.97, 24/01/23 03:24:15 PM est

240120231524, 1111, "Top Secret Twenty One - Janet Evanovich", true, 8.99, 3.0, 0%, 26.97, 24/01/23 03:24:48 PM est

240120231529, 1111, "Top Secret Twenty One - Janet Evanovich", true, 8.99, 4.0, 0%, 35.96, 24/01/23 03:29:37 PM est
240120231529, 14, "Stanley #2 Philips Screwdriver", true, 6.95, 6.0, 10%, 41.7, 24/01/23 03:29:45 PM est

240120231530, 1111, "Top Secret Twenty One - Janet Evanovich", true, 8.99, 3.0, 0%, 26.97, 24/01/23 03:30:16 PM est

240120231530, 1111, "Top Secret Twenty One - Janet Evanovich", true, 8.99, 3.0, 0%, 26.97, 24/01/23 03:30:36 PM est

240120231533, 1111, "Top Secret Twenty One - Janet Evanovich", true, 8.99, 3.0, 0%, 26.97, 24/01/23 03:33:55 PM est
240120231533, 1111, "Top Secret Twenty One - Janet Evanovich", true, 8.99, 3.0, 0%, 26.97, 24/01/23 03:33:55 PM est, 3.0, 0%, 26.97

240120231535, 1111, "Top Secret Twenty One - Janet Evanovich", true, 8.99, 3.0, 0%, 26.97, 24/01/23 03:35:23 PM est

240120231537, 1111, "Top Secret Twenty One - Janet Evanovich", true, 8.99, 3.0, 0%, 26.97, 24/01/23 03:37:44 PM est

240120231543, 1111, "Top Secret Twenty One - Janet Evanovich", true, 8.99, 3.0, 0%, 26.97, 24/01/23 03:43:26 PM est

240120231543, 1111, "Top Secret Twenty One - Janet Evanovich", true, 8.99, 4.0, 0%, 35.96, 24/01/23 03:43:52 PM est

240120231544, 1111, "Top Secret Twenty One - Janet Evanovich", true, 8.99, 3.0, 0%, 26.97, 24/01/23 03:44:10 PM est

240120231548, 1111, "Top Secret Twenty One - Janet Evanovich", true, 8.99, 20.0, 20%, 143.84, 24/01/23 03:48:43 PM est

240120231557, 1111, "Top Secret Twenty One - Janet Evanovich", true, 8.99, 3.0, 0%, 26.97, 24/01/23 03:57:50 PM est

240120231558, 1111, "Top Secret Twenty One - Janet Evanovich", true, 8.99, 4.0, 0%, 35.96, 24/01/23 03:58:16 PM est

240120231558, 1111, "Top Secret Twenty One - Janet Evanovich", true, 8.99, 3.0, 0%, 26.97, 24/01/23 03:58:51 PM est

240120231559, 1111, "Top Secret Twenty One - Janet Evanovich", true, 8.99, 3.0, 0%, 26.97, 24/01/23 03:59:03 PM est

240120231601, 1111, "Top Secret Twenty One - Janet Evanovich", true, 8.99, 3.0, 0%, 26.97, 24/01/23 04:01:03 PM est

240120231601, 1111, "Top Secret Twenty One - Janet Evanovich", true, 8.99, 4.0, 0%, 35.96, 24/01/23 04:01:57 PM est

240120231603, 1111, "Top Secret Twenty One - Janet Evanovich", true, 8.99, 3.0, 0%, 26.97, 24/01/23 04:03:14 PM est

240120231605, 1111, "Top Secret Twenty One - Janet Evanovich", true, 8.99, 3.0, 0%, 26.97, 24/01/23 04:05:11 PM est

240120231606, 1111, "Top Secret Twenty One - Janet Evanovich", true, 8.99, 3.0, 0%, 26.97, 24/01/23 04:06:36 PM est

260120231056, 1111, "Top Secret Twenty One - Janet Evanovich", true, 8.99, 3.0, 0%, 26.97, 26/01/23 10:56:57 AM est

260120231207, 1111, "Top Secret Twenty One - Janet Evanovich", true, 8.99, 3.0, 0%, 26.97, 26/01/23 12:07:17 PM est
260120231207, 14, "Stanley #2 Philips Screwdriver", true, 6.95, 35.0, 20%, 194.60000000000002, 26/01/23 12:07:26 PM est

260120231208, 1111, "Top Secret Twenty One - Janet Evanovich", true, 8.99, 3.0, 0%, 26.97, 26/01/23 12:08:38 PM est

260120231211, 1111, "Top Secret Twenty One - Janet Evanovich", true, 8.99, 3.0, 0%, 26.97, 26/01/23 12:11:38 PM est

260120231213, 1111, "Top Secret Twenty One - Janet Evanovich", true, 8.99, 3.0, 0%, 26.97, 26/01/23 12:13:34 PM est

